Date,Open,High,Low,Close,Adj Close,Volume,Day 
2020-03-09,212.470001,222.779999,210,211.169998,202.955978,2027500,1516
2020-03-10,220,225.229996,212.100006,225.029999,216.276871,1286500,1517
2020-03-11,217.910004,221.080002,210.089996,212.419998,204.157364,754300,1518
2020-03-12,197.589996,205.679993,188.809998,189.130005,181.77327,1953300,1519
2020-03-13,200.410004,210.179993,189.160004,209.419998,201.274063,1473400,1520
2020-03-16,188,196.869995,175.649994,177.529999,170.624496,1605700,1521
2020-03-17,182.259995,195,174.320007,193.149994,185.636917,1359700,1522
2020-03-18,180.309998,186.789993,167.789993,177.279999,170.384247,1377200,1523
2020-03-19,174.029999,187.490005,170.380005,181.839996,174.76683,981700,1524
2020-03-20,188.449997,191.770004,175.759995,176.660004,169.78833,980900,1525
2020-03-23,178.610001,185.910004,174.309998,182.970001,175.85289,929200,1526
2020-03-24,194.449997,203.350006,193.860001,202.759995,194.873077,1918200,1527
2020-03-25,203.860001,210.509995,196.550003,199.429993,192.33287,832000,1528
2020-03-26,204.660004,213.710007,202.809998,212.839996,205.265625,1100600,1529
2020-03-27,206.119995,209.139999,201.589996,202.279999,195.081421,833600,1530
2020-03-30,204.399994,209.940002,202.899994,209.320007,201.87088,1113800,1531
2020-03-31,209.350006,212.880005,203.419998,205.210007,197.907135,1447400,1532
2020-04-01,198.460007,203.210007,191.919998,193.979996,187.076782,979600,1533
2020-04-02,192.309998,200.229996,191.899994,199.759995,192.651093,1179300,1534
2020-04-03,199.449997,201.979996,193.399994,195.979996,189.005615,1036800,1535
2020-04-06,204.490005,216.949997,204.490005,215.970001,208.284241,1670600,1536
2020-04-07,223.520004,224.380005,214.949997,215.199997,207.541641,2232100,1537
2020-04-08,218.820007,223.220001,215.759995,222.399994,214.485397,1305300,1538
2020-04-09,225.570007,227.309998,215.460007,217.589996,209.846573,2264100,1539
2020-04-13,216.759995,220.710007,215.009995,220.050003,212.21904,1322700,1540
2020-04-14,225.380005,230.199997,224.839996,230.199997,222.007813,1957100,1541
2020-04-15,225.369995,225.369995,221.25,223.350006,215.401611,1206800,1542
2020-04-16,227.399994,230.110001,224.380005,229.619995,221.448471,1112700,1543
2020-04-17,233.660004,234.130005,228.550003,231.399994,223.165115,924200,1544
2020-04-20,227.919998,231.309998,226.070007,226.369995,218.314117,904400,1545
2020-04-21,222.839996,223.990005,214.580002,215.279999,207.61879,1217700,1546
2020-04-22,222.300003,229.389999,221.169998,228.309998,220.185089,1113700,1547
2020-04-23,228.320007,230.669998,225.229996,226.029999,217.986237,977700,1548
2020-04-24,225.880005,231.240005,223.990005,230.729996,222.518951,962400,1549
2020-04-27,233.710007,236.139999,232.729996,233.809998,225.48938,1070800,1550
2020-04-28,238.169998,239.360001,232.339996,232.600006,224.322403,1364700,1551
2020-04-29,236.729996,244.630005,236.289993,243.639999,234.969528,1325300,1552
2020-04-30,242.610001,242.910004,234.639999,235.039993,226.675598,1724100,1553
2020-05-01,228.860001,230.110001,222.5,223.580002,215.623413,2011200,1554
2020-05-04,221.449997,225.720001,220.570007,225.440002,217.417252,1127100,1555
2020-05-05,229.639999,233.5,227.860001,229.229996,221.072372,1502100,1556
2020-05-06,231.729996,235.610001,231.369995,232.039993,223.782303,1469300,1557
2020-05-07,236.139999,237.029999,232.960007,234.130005,225.797928,941900,1558
2020-05-08,236.580002,241.289993,235.910004,241.039993,232.462036,1295200,1559
2020-05-11,238.779999,242.970001,238.339996,240.809998,232.24025,1166100,1560
2020-05-12,242.440002,243.25,234.220001,234.419998,226.077682,1254700,1561
2020-05-13,235.559998,236.639999,226.419998,229.899994,221.718506,2296500,1562
2020-05-14,227.940002,236.279999,224.110001,236.050003,227.649658,2173900,1563
2020-05-15,228.139999,231.960007,226.740005,231.169998,222.943314,1885700,1564
2020-05-18,236.660004,243.080002,236.660004,241.789993,233.185379,1646900,1565
2020-05-19,241.839996,246.580002,240.910004,241,232.423492,1436000,1566
2020-05-20,245.960007,251.509995,245.960007,249.880005,240.987488,1263700,1567
2020-05-21,249.960007,250.149994,243.190002,243.589996,234.921265,1269900,1568
2020-05-22,243.830002,245.080002,240.809998,244.669998,235.962891,820800,1569
2020-05-26,251.220001,252.429993,246.910004,247.240005,238.441437,1436800,1570
2020-05-27,248,251.050003,240.979996,251.050003,242.11586,1765800,1571
2020-05-28,249.210007,252.559998,244.220001,245.570007,236.830872,1486700,1572
2020-05-29,246.380005,252.529999,245.619995,251.860001,242.897018,2094000,1573
2020-06-01,250.559998,251.679993,248.270004,250.5,241.585419,926700,1574
2020-06-02,251.220001,256.100006,250.050003,255.910004,246.802856,1053300,1575
2020-06-03,259.709991,264.5,259.640015,263.299988,253.929916,593900,1576
2020-06-04,262.299988,267.670013,261.470001,265.700012,256.244476,649500,1577
2020-06-05,272.049988,276.160004,270.769989,272.209991,262.522766,959400,1578
2020-06-08,273.829987,274.26001,268.970001,271.649994,261.982788,843800,1579
2020-06-09,268.910004,272.829987,267.720001,271.859985,262.185333,652800,1580
2020-06-10,273.670013,275.410004,271.700012,272.820007,263.111115,859800,1581
2020-06-11,265.899994,266.769989,255.210007,255.490005,246.397842,1330700,1582
2020-06-12,262.029999,264.170013,253.190002,258.970001,249.753983,1537800,1583
2020-06-15,252.720001,262.299988,251.839996,261.890015,253.120361,710800,1584
2020-06-16,269.589996,271.299988,262.23999,267,258.059235,1128100,1585
2020-06-17,269.540009,271.5,267.470001,269.079987,260.069611,457100,1586
2020-06-18,268.720001,270.019989,267.390015,268.579987,259.586304,446800,1587
2020-06-19,271.950012,272.799988,266.549988,267.279999,258.329865,757100,1588
2020-06-22,267,269.880005,264.420013,269.25,260.233917,428700,1589
2020-06-23,271.869995,273.019989,269.730011,270.209991,261.161652,392600,1590
2020-06-24,268.73999,270.160004,262.23999,264.279999,255.430267,658000,1591
2020-06-25,263.959991,266.690002,259.929993,266.170013,257.257019,458800,1592
2020-06-26,266.5,266.76001,260.529999,261.179993,252.434174,545900,1593
2020-06-29,261.25,264.130005,257.959991,264.029999,255.188644,888300,1594
2020-06-30,265.230011,271.880005,265.01001,270.869995,261.799652,1362000,1595
2020-07-01,271.119995,271.220001,267.149994,267.399994,258.445892,636400,1596
2020-07-02,271.529999,273.190002,269.850006,270.670013,261.606354,595800,1597
2020-07-06,275.98999,278.880005,275.130005,277.820007,268.516998,770900,1598
2020-07-07,277.23999,278.940002,274.100006,274.540009,265.346771,631000,1599
2020-07-08,276.630005,278.5,274.459991,278.26001,268.942261,536900,1600
2020-07-09,279.600006,283.660004,275.329987,281.950012,272.508667,669300,1601
2020-07-10,282.700012,283.040009,278.279999,281,271.590424,322000,1602
2020-07-13,284.980011,288.049988,275.850006,276.380005,267.125153,983900,1603
2020-07-14,274.429993,281.649994,270.850006,280.950012,271.542145,1041400,1604
2020-07-15,283.200012,283.209991,276.160004,280.459991,271.068542,749000,1605
2020-07-16,277.200012,280.309998,275.980011,279.410004,270.053711,448200,1606
2020-07-17,280.329987,281.959991,279.450012,280.820007,271.416473,446800,1607
2020-07-20,281.290009,287.170013,279.440002,286.369995,276.780609,594400,1608
2020-07-21,288.48999,288.869995,283.73999,284.910004,275.369507,531300,1609
2020-07-22,285.690002,288.019989,283.529999,285.850006,276.278046,413500,1610
2020-07-23,286,288.230011,279,281.480011,272.054352,668700,1611
2020-07-24,276.5,281.01001,272.769989,277.059998,267.782349,905800,1612
2020-07-27,280.559998,285.809998,280.359985,285.690002,276.123413,774800,1613
2020-07-28,283.600006,283.970001,279.609985,280.170013,270.7883,607500,1614
2020-07-29,282.660004,287.109985,282.359985,285.940002,276.365051,484000,1615
2020-07-30,285.109985,291.839996,285.040009,291.570007,281.806549,905800,1616
2020-07-31,292.299988,292.440002,285.959991,290.390015,280.666016,642800,1617
2020-08-03,292.160004,296.369995,292.119995,295.660004,285.759552,551400,1618
2020-08-04,295.660004,300.26001,295.51001,300,289.954224,484300,1619
2020-08-05,299.529999,301.019989,297.600006,299.690002,289.654633,580500,1620
2020-08-06,299.459991,300.019989,296.48999,299.529999,289.499969,365400,1621
2020-08-07,299.190002,300.299988,292.600006,296.200012,286.281525,454900,1622
2020-08-10,297.089996,297.450012,291.899994,296.190002,286.27179,442300,1623
2020-08-11,295.850006,298.910004,292.200012,293.100006,283.285217,705500,1624
2020-08-12,295.589996,303.369995,294.640015,302.570007,292.438141,648600,1625
2020-08-13,302.570007,302.880005,298.070007,299.559998,289.528931,507400,1626
2020-08-14,300.519989,302.880005,298.320007,299.380005,289.355011,362900,1627
